crop_type,yield_tha,till_type,ipcc_translation_crop,man_type,man_nrate,ipcc_translation_manure,crop_om_input,crop_c_input,crop_n_input,crop_lignin_input,crop_n_frac,crop_lignin_frac,man_om_input,man_c_input,man_n_input,man_lignin_input,man_n_frac,man_lignin_frac
Winter wheat,6.8,full,winter_wheat,None,0,none,13.8687356,5.824868952,0.09569427564,0.7350429868000001,0.0069,0.053000000000000005,0,0,0,0,0,0
Winter barley,5.6,full,barley,None,0,none,7.775150399999999,3.2655631679999995,0.06997635359999999,0.35765691839999997,0.009,0.046,0,0,0,0,0,0
Winter rape,3.6,full,grains_nos,None,0,none,5.983366400000001,2.5130138880000006,0.04068689152000001,0.44276911360000015,0.0068000000000000005,0.07400000000000001,0,0,0,0,0,0
Winter wheat,6.8,full,winter_wheat,None,0,none,13.8687356,5.824868952,0.09569427564,0.7350429868000001,0.0069,0.053000000000000005,0,0,0,0,0,0
Pea,3,full,n_fixing_forage,None,0,none,2.2140000000000004,0.9298800000000002,0.05535000000000001,0.15940800000000005,0.025,0.07200000000000001,0,0,0,0,0,0
Winter wheat,6.8,full,winter_wheat,None,0,none,13.8687356,5.824868952,0.09569427564,0.7350429868000001,0.0069,0.053000000000000005,0,0,0,0,0,0
Winter barley,5.6,full,barley,None,0,none,7.775150399999999,3.2655631679999995,0.06997635359999999,0.35765691839999997,0.009,0.046,0,0,0,0,0,0
Winter rape,3.6,full,grains_nos,None,0,none,5.983366400000001,2.5130138880000006,0.04068689152000001,0.44276911360000015,0.0068000000000000005,0.07400000000000001,0,0,0,0,0,0
Winter wheat,6.8,full,winter_wheat,None,0,none,13.8687356,5.824868952,0.09569427564,0.7350429868000001,0.0069,0.053000000000000005,0,0,0,0,0,0
Pea,3,full,n_fixing_forage,None,0,none,2.2140000000000004,0.9298800000000002,0.05535000000000001,0.15940800000000005,0.025,0.07200000000000001,0,0,0,0,0,0
Winter wheat,6.8,full,winter_wheat,None,0,none,13.8687356,5.824868952,0.09569427564,0.7350429868000001,0.0069,0.053000000000000005,0,0,0,0,0,0
Winter barley,5.6,full,barley,None,0,none,7.775150399999999,3.2655631679999995,0.06997635359999999,0.35765691839999997,0.009,0.046,0,0,0,0,0,0
Winter rape,3.6,full,grains_nos,None,0,none,5.983366400000001,2.5130138880000006,0.04068689152000001,0.44276911360000015,0.0068000000000000005,0.07400000000000001,0,0,0,0,0,0
