crop_type,yield_tha,till_type,ipcc_translation_crop,man_type,man_nrate,ipcc_translation_manure,crop_om_input,crop_c_input,crop_n_input,crop_lignin_input,crop_n_frac,crop_lignin_frac,man_om_input,man_c_input,man_n_input,man_lignin_input,man_n_frac,man_lignin_frac
Winter wheat,10.25,full,winter_wheat,None,0,none,14.620571750000003,6.140640135000001,0.10088194507500002,0.7748903027500003,0.0069,0.053000000000000005,0,0,0,0,0,0
Winter barley,9.3,full,barley,None,0,none,9.349106361290325,3.926624671741936,0.08414195725161291,0.4300588926193549,0.009,0.046,0,0,0,0,0,0
Winter oats,8.7,full,oats,None,0,none,8.936876178160919,3.753487994827586,0.0652391961005747,0.4200331803735632,0.007299999999999999,0.047,0,0,0,0,0,0
Winter wheat,10.25,full,winter_wheat,None,0,none,15.503726384146342,6.511565081341463,0.10697571205060975,0.8216974983597563,0.0069,0.05300000000000001,0,0,0,0,0,0
Winter barely,9.3,full,barley,None,0,none,9.44267044731183,3.9659215878709686,0.08498403402580647,0.43436284057634417,0.009,0.046,0,0,0,0,0,0
Winter rape,4.04,full,grains_nos,None,0,none,6.58344896,2.7650485632,0.044767452928,0.48717522304000005,0.0068000000000000005,0.07400000000000001,0,0,0,0,0,0
Winter wheat,10.25,full,winter_wheat,None,0,none,14.620571750000003,6.140640135000001,0.10088194507500002,0.7748903027500003,0.0069,0.053000000000000005,0,0,0,0,0,0
Winter barley,9.3,full,barley,None,0,none,9.349106361290325,3.926624671741936,0.08414195725161291,0.4300588926193549,0.009,0.046,0,0,0,0,0,0
Winter oats,8.7,full,oats,None,0,none,8.936876178160919,3.753487994827586,0.0652391961005747,0.4200331803735632,0.007299999999999999,0.047,0,0,0,0,0,0
Winter wheat,10.25,full,winter_wheat,None,0,none,15.503726384146342,6.511565081341463,0.10697571205060975,0.8216974983597563,0.0069,0.05300000000000001,0,0,0,0,0,0
Winter barely,9.3,full,barley,None,0,none,9.44267044731183,3.9659215878709686,0.08498403402580647,0.43436284057634417,0.009,0.046,0,0,0,0,0,0
Winter rape,4.04,full,grains_nos,None,0,none,6.58344896,2.7650485632,0.044767452928,0.48717522304000005,0.0068000000000000005,0.07400000000000001,0,0,0,0,0,0
Winter wheat,10.25,full,winter_wheat,None,0,none,14.620571750000003,6.140640135000001,0.10088194507500002,0.7748903027500003,0.0069,0.053000000000000005,0,0,0,0,0,0
Winter barley,9.3,full,barley,None,0,none,9.349106361290325,3.926624671741936,0.08414195725161291,0.4300588926193549,0.009,0.046,0,0,0,0,0,0
Winter oats,8.7,full,oats,None,0,none,8.936876178160919,3.753487994827586,0.0652391961005747,0.4200331803735632,0.007299999999999999,0.047,0,0,0,0,0,0
Winter wheat,10.25,full,winter_wheat,None,0,none,15.503726384146342,6.511565081341463,0.10697571205060975,0.8216974983597563,0.0069,0.05300000000000001,0,0,0,0,0,0
Winter barely,9.3,full,barley,None,0,none,9.44267044731183,3.9659215878709686,0.08498403402580647,0.43436284057634417,0.009,0.046,0,0,0,0,0,0
Winter rape,4.04,full,grains_nos,None,0,none,6.58344896,2.7650485632,0.044767452928,0.48717522304000005,0.0068000000000000005,0.07400000000000001,0,0,0,0,0,0
Winter wheat,10.25,full,winter_wheat,None,0,none,14.620571750000003,6.140640135000001,0.10088194507500002,0.7748903027500003,0.0069,0.053000000000000005,0,0,0,0,0,0
Winter barley,9.3,full,barley,None,0,none,9.349106361290325,3.926624671741936,0.08414195725161291,0.4300588926193549,0.009,0.046,0,0,0,0,0,0
Winter oats,8.7,full,oats,None,0,none,8.936876178160919,3.753487994827586,0.0652391961005747,0.4200331803735632,0.007299999999999999,0.047,0,0,0,0,0,0
Winter wheat,10.25,full,winter_wheat,None,0,none,15.503726384146342,6.511565081341463,0.10697571205060975,0.8216974983597563,0.0069,0.05300000000000001,0,0,0,0,0,0
Winter barely,9.3,full,barley,None,0,none,9.44267044731183,3.9659215878709686,0.08498403402580647,0.43436284057634417,0.009,0.046,0,0,0,0,0,0
Winter rape,4.04,full,grains_nos,None,0,none,6.58344896,2.7650485632,0.044767452928,0.48717522304000005,0.0068000000000000005,0.07400000000000001,0,0,0,0,0,0
Winter wheat,10.25,full,winter_wheat,None,0,none,14.620571750000003,6.140640135000001,0.10088194507500002,0.7748903027500003,0.0069,0.053000000000000005,0,0,0,0,0,0
Winter barley,9.3,full,barley,None,0,none,9.349106361290325,3.926624671741936,0.08414195725161291,0.4300588926193549,0.009,0.046,0,0,0,0,0,0
Winter oats,8.7,full,oats,None,0,none,8.936876178160919,3.753487994827586,0.0652391961005747,0.4200331803735632,0.007299999999999999,0.047,0,0,0,0,0,0
Winter wheat,10.25,full,winter_wheat,None,0,none,15.503726384146342,6.511565081341463,0.10697571205060975,0.8216974983597563,0.0069,0.05300000000000001,0,0,0,0,0,0
Winter barely,9.3,full,barley,None,0,none,9.44267044731183,3.9659215878709686,0.08498403402580647,0.43436284057634417,0.009,0.046,0,0,0,0,0,0
Winter rape,4.04,full,grains_nos,None,0,none,6.58344896,2.7650485632,0.044767452928,0.48717522304000005,0.0068000000000000005,0.07400000000000001,0,0,0,0,0,0
Winter wheat,10.25,full,winter_wheat,None,0,none,14.620571750000003,6.140640135000001,0.10088194507500002,0.7748903027500003,0.0069,0.053000000000000005,0,0,0,0,0,0
Winter barley,9.3,full,barley,None,0,none,9.349106361290325,3.926624671741936,0.08414195725161291,0.4300588926193549,0.009,0.046,0,0,0,0,0,0
Winter oats,8.7,full,oats,None,0,none,8.936876178160919,3.753487994827586,0.0652391961005747,0.4200331803735632,0.007299999999999999,0.047,0,0,0,0,0,0
