crop_type,yield_tha,till_type,ipcc_translation_crop,man_type,man_nrate,ipcc_translation_manure,crop_om_input,crop_c_input,crop_n_input,crop_lignin_input,crop_n_frac,crop_lignin_frac,man_om_input,man_c_input,man_n_input,man_lignin_input,man_n_frac,man_lignin_frac
Spring barley,5.5,full,barley,Dairy cattle,60,dairy_cattle,4.808691090909091,2.0196502581818185,0.04327821981818182,0.2211997901818182,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,6.270376666666667,2.6335582000000004,0.05643339,0.2884373266666667,0.009,0.046,0,0,0,0,NaN,NaN
Winter rape,3.7,full,grains_nos,Dairy cattle,0,dairy_cattle,6.119748800000001,2.5702944960000003,0.04161429184000001,0.4528614112000001,0.006800000000000001,0.07400000000000001,0,0,0,0,NaN,NaN
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,5.699856666666666,2.3939397999999996,0.05129870999999999,0.26219340666666663,0.009,0.046,0,0,0,0,NaN,NaN
Winter oat,7.5,full,oats,Dairy cattle,0,dairy_cattle,7.681219166666667,3.22611205,0.05607289991666667,0.36101730083333333,0.0073,0.047,0,0,0,0,NaN,NaN
Spring barley,5.5,full,barley,Dairy cattle,60,dairy_cattle,3.6333238181818186,1.5259960036363638,0.03269991436363637,0.16713289563636366,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,10.16893,4.2709506,0.09152036999999999,0.46777078,0.009,0.046,0,0,0,0,NaN,NaN
Winter rape,3.7,full,grains_nos,Dairy cattle,0,dairy_cattle,1.6907088000000001,0.7100976960000001,0.011496819840000002,0.12511245120000003,0.0068000000000000005,0.07400000000000001,0,0,0,0,NaN,NaN
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,7.411416666666666,3.1127949999999998,0.06670274999999999,0.3409251666666666,0.009,0.046,0,0,0,0,NaN,NaN
Winter oat,7.5,full,oats,Dairy cattle,0,dairy_cattle,6.566939166666667,2.75811445,0.04793865591666667,0.30864614083333336,0.0073,0.047,0,0,0,0,NaN,NaN
Spring barley,5.5,full,barley,Dairy cattle,60,dairy_cattle,7.6491620000000005,3.21264804,0.068842458,0.351861452,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,5.699856666666666,2.3939397999999996,0.05129870999999999,0.26219340666666663,0.009,0.046,0,0,0,0,NaN,NaN
Winter rape,3.7,full,grains_nos,Dairy cattle,0,dairy_cattle,2.6483390702702705,1.1123024095135137,0.01800870567783784,0.19597709120000004,0.0068000000000000005,0.07400000000000001,0,0,0,0,NaN,NaN
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,6.270376666666667,2.6335582000000004,0.05643339,0.2884373266666667,0.009,0.046,0,0,0,0,NaN,NaN
Winter oat,7.5,full,oats,Dairy cattle,0,dairy_cattle,10.3740625,4.35710625,0.07573065625,0.48758093750000003,0.007299999999999999,0.047,0,0,0,0,NaN,NaN
Spring barley,5.5,full,barley,Dairy cattle,60,dairy_cattle,3.0456401818181815,1.2791688763636362,0.02741076163636363,0.14009944836363636,0.009,0.046000000000000006,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,7.411416666666666,3.1127949999999998,0.06670274999999999,0.3409251666666666,0.009,0.046,0,0,0,0,NaN,NaN
Winter rape,3.7,full,grains_nos,Dairy cattle,0,dairy_cattle,1.6907088000000001,0.7100976960000001,0.011496819840000002,0.12511245120000003,0.0068000000000000005,0.07400000000000001,0,0,0,0,NaN,NaN
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,10.16893,4.2709506,0.09152036999999999,0.46777078,0.009,0.046,0,0,0,0,NaN,NaN
Winter oat,7.5,full,oats,Dairy cattle,0,dairy_cattle,6.009799166666666,2.5241156499999997,0.043871533916666663,0.2824605608333333,0.0073,0.047,0,0,0,0,NaN,NaN
Spring barley,5.5,full,barley,Dairy cattle,60,dairy_cattle,4.808691090909091,2.0196502581818185,0.04327821981818182,0.2211997901818182,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,6.270376666666667,2.6335582000000004,0.05643339,0.2884373266666667,0.009,0.046,0,0,0,0,NaN,NaN
Winter rape,3.7,full,grains_nos,Dairy cattle,0,dairy_cattle,6.119748800000001,2.5702944960000003,0.04161429184000001,0.4528614112000001,0.006800000000000001,0.07400000000000001,0,0,0,0,NaN,NaN
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,5.699856666666666,2.3939397999999996,0.05129870999999999,0.26219340666666663,0.009,0.046,0,0,0,0,NaN,NaN
Winter oat,7.5,full,oats,Dairy cattle,0,dairy_cattle,7.681219166666667,3.22611205,0.05607289991666667,0.36101730083333333,0.0073,0.047,0,0,0,0,NaN,NaN
Spring barley,5.5,full,barley,Dairy cattle,60,dairy_cattle,3.6333238181818186,1.5259960036363638,0.03269991436363637,0.16713289563636366,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,10.16893,4.2709506,0.09152036999999999,0.46777078,0.009,0.046,0,0,0,0,NaN,NaN
Winter rape,3.7,full,grains_nos,Dairy cattle,0,dairy_cattle,1.6907088000000001,0.7100976960000001,0.011496819840000002,0.12511245120000003,0.0068000000000000005,0.07400000000000001,0,0,0,0,NaN,NaN
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,7.411416666666666,3.1127949999999998,0.06670274999999999,0.3409251666666666,0.009,0.046,0,0,0,0,NaN,NaN
Winter oat,7.5,full,oats,Dairy cattle,0,dairy_cattle,6.566939166666667,2.75811445,0.04793865591666667,0.30864614083333336,0.0073,0.047,0,0,0,0,NaN,NaN
Spring barley,5.5,full,barley,Dairy cattle,60,dairy_cattle,7.6491620000000005,3.21264804,0.068842458,0.351861452,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Winter barley,7.5,full,barley,Dairy cattle,0,dairy_cattle,5.699856666666666,2.3939397999999996,0.05129870999999999,0.26219340666666663,0.009,0.046,0,0,0,0,NaN,NaN
