crop_type,yield_tha,till_type,ipcc_translation_crop,man_type,man_nrate,ipcc_translation_manure,crop_om_input,crop_c_input,crop_n_input,crop_lignin_input,crop_n_frac,crop_lignin_frac,man_om_input,man_c_input,man_n_input,man_lignin_input,man_n_frac,man_lignin_frac
Spring barley,8,full,barley,Dairy cattle,60,dairy_cattle,10.798872,4.535526239999999,0.09718984799999998,0.49674811199999996,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Alfalfa,6,full,alfalfa,Dairy cattle,0,dairy_cattle,4.352400000000001,1.8280080000000005,0.10358712000000002,0.3133728000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Spring barley,8,full,barley,Dairy cattle,60,dairy_cattle,10.798872,4.535526239999999,0.09718984799999998,0.49674811199999996,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Alfalfa,6,full,alfalfa,Dairy cattle,0,dairy_cattle,4.352400000000001,1.8280080000000005,0.10358712000000002,0.3133728000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Spring barley,8,full,barley,Dairy cattle,60,dairy_cattle,10.798872,4.535526239999999,0.09718984799999998,0.49674811199999996,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Alfalfa,6,full,alfalfa,Dairy cattle,0,dairy_cattle,4.352400000000001,1.8280080000000005,0.10358712000000002,0.3133728000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Spring barley,8,full,barley,Dairy cattle,60,dairy_cattle,10.798872,4.535526239999999,0.09718984799999998,0.49674811199999996,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Alfalfa,6,full,alfalfa,Dairy cattle,0,dairy_cattle,4.352400000000001,1.8280080000000005,0.10358712000000002,0.3133728000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Spring barley,8,full,barley,Dairy cattle,60,dairy_cattle,10.798872,4.535526239999999,0.09718984799999998,0.49674811199999996,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Alfalfa,6,full,alfalfa,Dairy cattle,0,dairy_cattle,4.352400000000001,1.8280080000000005,0.10358712000000002,0.3133728000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Spring barley,8,full,barley,Dairy cattle,60,dairy_cattle,10.798872,4.535526239999999,0.09718984799999998,0.49674811199999996,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Alfalfa,6,full,alfalfa,Dairy cattle,0,dairy_cattle,4.352400000000001,1.8280080000000005,0.10358712000000002,0.3133728000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Spring barley,8,full,barley,Dairy cattle,60,dairy_cattle,10.798872,4.535526239999999,0.09718984799999998,0.49674811199999996,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Alfalfa,6,full,alfalfa,Dairy cattle,0,dairy_cattle,4.352400000000001,1.8280080000000005,0.10358712000000002,0.3133728000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Spring barley,8,full,barley,Dairy cattle,60,dairy_cattle,10.798872,4.535526239999999,0.09718984799999998,0.49674811199999996,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Alfalfa,6,full,alfalfa,Dairy cattle,0,dairy_cattle,4.352400000000001,1.8280080000000005,0.10358712000000002,0.3133728000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Spring barley,8,full,barley,Dairy cattle,60,dairy_cattle,10.798872,4.535526239999999,0.09718984799999998,0.49674811199999996,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Alfalfa,6,full,alfalfa,Dairy cattle,0,dairy_cattle,4.352400000000001,1.8280080000000005,0.10358712000000002,0.3133728000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Spring barley,8,full,barley,Dairy cattle,60,dairy_cattle,10.798872,4.535526239999999,0.09718984799999998,0.49674811199999996,0.009,0.046,2.0689655172413794,0.96,0.06,0.26896551724137935,0.028999999999999998,0.13
Alfalfa,6,full,alfalfa,Dairy cattle,0,dairy_cattle,4.352400000000001,1.8280080000000005,0.10358712000000002,0.3133728000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
Alfalfa,10,zero,alfalfa,Dairy cattle,0,dairy_cattle,7.2540000000000004,3.0466800000000003,0.1726452,0.5222880000000001,0.023799999999999998,0.07200000000000001,0,0,0,0,NaN,NaN
